tile,mean_reburn_pct,sd_reburn_pct
h08v04,0.17125,0.17602252290950884
h08v05,0.35411764705882354,0.2667409516630651
h08v06,1.35125,1.053191182391244
h09v04,0.3623529411764706,0.2969959892777322
h09v05,0.23,0.18671502349837837
h09v06,0.7252941176470589,0.4737762874904519
h10v04,0.12357142857142857,0.09434854716236149
h10v05,0.6747058823529412,0.28937686602117196
h10v06,5.115882352941177,2.3079592143913894
h11v04,0.35363636363636364,0.33407402554741455
h11v05,0.3164705882352941,0.3495879927942067
h12v04,0.3525,0.6117393235684625
h13v04,0.32,0.2946183972531247
